 
fecha,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%
Ago 10 2016,"13,502.00",ISAGEN    ,"54,896,450.00","4,065.00",-.37
Ago 10 2016,"7,829.00",VILLAS    ,"49,322,700.00","6,300.00",2.61
Ago 10 2016,"3,000,000.00",FABRICATO ,"43,471,370.10",14.50,.69
Ago 10 2016,"852,880.00",BVC       ,"16,114,144.00",18.90,.53
Ago 10 2016,"3,522.00",PFCARPAK  ,"9,528,260.00","2,700.00",.00
Ago 10 2016,"2,500.00",MINEROS   ,"5,792,500.00","2,305.00",.00
Ago 10 2016,"10,000.00",VALOREM   ,"4,330,000.00",454.00,.00
Ago 10 2016,268.00,TERPEL    ,"2,398,600.00","9,780.00",.00
Ago 10 2016,"1,058.00",EEB       ,"1,920,270.00","1,820.00",.00
Ago 10 2016,126.00,ODINSA    ,"1,059,660.00","8,690.00",.00
Ago 10 2016,104.00,COLTEJER  ,"125,320.00","1,600.00",.00
Ago 10 2016,1.00,PFCORFICOL,"31,100.00","32,480.00",.00
Ago 11 2016,"1,807,899.00",PFBCOLOM  ,"48,998,558,780.00","27,180.00",.82
Ago 11 2016,"803,964.00",PFDAVVNDA ,"22,215,135,520.00","27,600.00",.44
Ago 11 2016,"920,729.00",EXITO     ,"12,895,459,240.00","14,000.00",-.99
Ago 11 2016,"4,139,838.00",PFAVH     ,"9,716,946,545.00","2,355.00",1.95
Ago 11 2016,"7,835,880.00",ECOPETROL ,"9,599,627,865.00","1,230.00",.41
Ago 11 2016,"233,812.00",GRUPOSURA ,"9,003,815,880.00","38,480.00",-.21
Ago 11 2016,"272,280.00",GRUPOARGOS,"5,160,733,080.00","19,000.00",.53
Ago 11 2016,"184,663.00",NUTRESA   ,"4,719,155,000.00","25,560.00",.16
Ago 11 2016,"3,726,162.00",PFAVAL    ,"4,450,823,030.00","1,195.00",.00
Ago 11 2016,"379,930.00",CEMARGOS  ,"4,445,751,520.00","11,700.00",.86
Ago 11 2016,"274,738.00",PFCEMARGOS,"2,980,124,820.00","10,920.00",1.30
Ago 11 2016,"76,234.00",PFGRUPSURA,"2,900,739,140.00","38,180.00",.26
Ago 11 2016,"110,602.00",BCOLOMBIA ,"2,775,007,620.00","25,220.00",.64
Ago 11 2016,"49,579.00",CORFICOLCF,"1,897,654,200.00","38,320.00",-.10
Ago 11 2016,"710,240.00",MINEROS   ,"1,671,708,205.00","2,400.00",4.12
Ago 11 2016,"120,000.00",ICOLCAP   ,"1,606,640,000.00","13,387.00",.41
Ago 11 2016,"164,503.00",ISA       ,"1,549,808,470.00","9,480.00",.85
Ago 11 2016,"101,975.00",CLH       ,"1,262,073,420.00","12,420.00",.49
Ago 11 2016,"649,564.00",EEB       ,"1,186,449,310.00","1,835.00",.82
Ago 11 2016,"59,272.00",PFGRUPOARG,"1,070,900,060.00","18,160.00",.44
Ago 11 2016,"1,098,523.00",ETB       ,"664,153,175.00",607.00,1.17
Ago 11 2016,"1,202,868.00",VALOREM   ,"543,696,336.00",452.00,-.44
Ago 11 2016,"51,296.00",CELSIA    ,"197,345,120.00","3,850.00",.52
Ago 11 2016,"14,740.00",ODINSA    ,"128,090,600.00","8,690.00",.00
Ago 11 2016,"91,696.00",GRUPOAVAL ,"108,808,920.00","1,185.00",-.42
Ago 11 2016,"4,874,476.00",BVC       ,"89,088,258.40",18.60,-1.59
Ago 11 2016,"5,508.00",CNEC      ,"54,705,960.00","9,950.00",.10
Ago 11 2016,"1,492.00",OCCIDENTE ,"54,458,000.00","36,500.00",.00
Ago 11 2016,"20,000.00",PFCARPAK  ,"53,150,000.00","2,650.00",-1.85
Ago 11 2016,520.00,BOGOTA    ,"30,461,600.00","58,580.00",.41
Ago 11 2016,"1,450,000.00",FABRICATO ,"21,245,974.60",14.80,2.07
Ago 11 2016,"17,969.00",CONCONCRET,"19,593,555.00","1,090.00",-.46
Ago 11 2016,"3,009.00",ISAGEN    ,"12,241,630.00","4,065.00",.00
Ago 11 2016,"7,068.00",ELCONDOR  ,"8,350,775.00","1,180.00",-1.67
Ago 11 2016,"4,076.00",BIOMAX    ,"8,157,380.00","2,000.00",-2.44
Ago 11 2016,"2,509.00",BBVACOL   ,"652,340.00",260.00,.00
Ago 12 2016,"853,326.00",PFBCOLOM  ,"23,127,220,160.00","27,180.00",.00
Ago 12 2016,"4,744,230.00",ECOPETROL ,"5,829,921,320.00","1,220.00",-.81
Ago 12 2016,"3,729,420.00",PFAVAL    ,"4,459,509,500.00","1,195.00",.00
Ago 12 2016,"99,278.00",GRUPOSURA ,"3,807,813,300.00","38,500.00",.05
Ago 12 2016,"230,000.00",ICOLCAP   ,"3,074,910,000.00","13,347.00",-.30
Ago 12 2016,"211,280.00",EXITO     ,"2,933,143,640.00","13,820.00",-1.29
Ago 12 2016,"137,697.00",GRUPOARGOS,"2,599,396,560.00","18,820.00",-.95
Ago 12 2016,"175,138.00",CLH       ,"2,167,134,080.00","12,500.00",.64
Ago 12 2016,"769,842.00",PFAVH     ,"1,826,751,120.00","2,345.00",-.42
Ago 12 2016,"66,065.00",PFDAVVNDA ,"1,811,584,140.00","27,600.00",.00
Ago 12 2016,"35,515.00",PFGRUPSURA,"1,341,320,260.00","37,720.00",-1.20
Ago 12 2016,"53,297.00",BCOLOMBIA ,"1,332,068,520.00","25,100.00",-.48
Ago 12 2016,"99,265.00",CEMARGOS  ,"1,159,118,040.00","11,640.00",-.51
Ago 12 2016,"38,746.00",NUTRESA   ,"989,880,960.00","25,560.00",.00
Ago 12 2016,"23,607.00",CORFICOLCF,"903,853,860.00","38,360.00",.10
Ago 12 2016,"82,746.00",PFCEMARGOS,"897,079,000.00","10,900.00",-.18
Ago 12 2016,"84,549.00",CNEC      ,"826,313,720.00","9,940.00",-.10
Ago 12 2016,"74,771.00",ISA       ,"704,709,830.00","9,450.00",-.32
Ago 12 2016,"4,664.00",BOGOTA    ,"271,425,800.00","58,600.00",.03
Ago 12 2016,"67,462.00",CELSIA    ,"260,879,720.00","3,880.00",.78
Ago 12 2016,"72,711.00",EEB       ,"131,763,555.00","1,815.00",-1.09
Ago 12 2016,"4,916.00",PFGRUPOARG,"88,472,200.00","18,080.00",-.44
Ago 12 2016,"65,720.00",GRUPOAVAL ,"77,878,255.00","1,185.00",.00
Ago 12 2016,"116,202.00",ETB       ,"69,986,093.00",601.00,-.99
Ago 12 2016,"14,039.00",CONCONCRET,"15,286,790.00","1,090.00",.00
Ago 12 2016,"41,103.00",BBVACOL   ,"10,686,780.00",260.00,.00
Ago 12 2016,"500,000.00",FABRICATO ,"7,000,000.00",14.00,-5.41
Ago 12 2016,202.00,PFCORFICOL,"6,286,240.00","31,120.00",-4.19
Ago 12 2016,"1,232.00",ISAGEN    ,"5,001,920.00","4,065.00",.00
Ago 12 2016,80.00,OCCIDENTE ,"2,920,000.00","36,500.00",.00
Ago 12 2016,"123,840.00",BVC       ,"2,303,424.00",18.60,.00
Ago 12 2016,664.00,FAMILIA   ,"756,960.00","1,140.00",.00
Ago 16 2016,"1,658,264.00",PFBCOLOM  ,"45,339,578,960.00","27,380.00",.74
Ago 16 2016,"2,131,680.00",ICOLCAP   ,"28,825,254,840.00","13,568.00",1.66
Ago 16 2016,"11,703,119.00",ECOPETROL ,"14,799,519,565.00","1,275.00",4.51
Ago 16 2016,"381,555.00",GRUPOSURA ,"14,702,540,080.00","38,620.00",.31
Ago 16 2016,"463,116.00",NUTRESA   ,"11,903,491,420.00","26,000.00",1.72
Ago 16 2016,"992,655.00",PFCEMARGOS,"10,882,955,980.00","11,000.00",.92
Ago 16 2016,"862,544.00",CEMARGOS  ,"10,218,576,520.00","11,880.00",2.06
Ago 16 2016,"6,637,467.00",PFAVAL    ,"7,958,242,645.00","1,200.00",.42
Ago 16 2016,"760,505.00",ISA       ,"7,275,053,400.00","9,700.00",2.65
Ago 16 2016,"553,246.00",CLH       ,"6,995,815,180.00","12,700.00",1.60
Ago 16 2016,"150,615.00",CORFICOLCF,"5,777,179,820.00","38,400.00",.10
Ago 16 2016,"226,186.00",BCOLOMBIA ,"5,737,738,620.00","25,480.00",1.51
Ago 16 2016,"376,382.00",EXITO     ,"5,261,369,400.00","13,980.00",1.16
Ago 16 2016,"137,000.00",PFGRUPSURA,"5,207,496,840.00","38,020.00",.80
Ago 16 2016,"265,374.00",GRUPOARGOS,"5,090,887,500.00","19,240.00",2.23
Ago 16 2016,"1,198,310.00",CELSIA    ,"4,686,203,805.00","3,915.00",.90
Ago 16 2016,"153,802.00",PFDAVVNDA ,"4,244,136,600.00","27,800.00",.72
Ago 16 2016,"216,993.00",CNEC      ,"2,060,819,390.00","9,420.00",-5.23
Ago 16 2016,"85,670.00",PFGRUPOARG,"1,571,080,120.00","18,500.00",2.32
Ago 16 2016,"843,341.00",EEB       ,"1,549,848,470.00","1,845.00",1.65
Ago 16 2016,"14,650.00",BOGOTA    ,"862,948,880.00","59,500.00",1.54
Ago 16 2016,"253,759.00",PFAVH     ,"595,069,645.00","2,330.00",-.64
Ago 16 2016,"502,558.00",ETB       ,"303,727,989.00",602.00,.17
Ago 16 2016,"243,182.00",CONCONCRET,"270,159,265.00","1,120.00",2.75
