FECHA,NEMO,MONTO,CANTIDAD,PRECIO CIERRE,PRECIO MIN,PRECIO MAX,PRECIO PROM
2016-01-06,BCOLOMBIA,661432320,32587,20280,20020,20500,20297.43
2016-01-06,BIOMAX,0,0,1750,0,0,0
2016-01-06,BMC,0,0,841,0,0,0
2016-01-06,BOGOTA,87960240,1500,58500,58020,58980,58640.16
2016-01-06,BVC,43872205.5,2539446,17.5,17.1,17.5,17.28
2016-01-06,C,0,0,174560,0,0,0
2016-01-06,CARTON,0,0,4600,0,0,0
2016-01-06,CELSIA,460301775,153881,2960,2935,3000,2991.28
2016-01-06,CEMARGOS,1338091190,143243,9700,9260,9700,9341.41
2016-01-06,CLH,1073319600,103837,10400,10100,10420,10336.58
2016-01-06,CNEC,891254790,151320,5810,5780,6060,5889.87
2016-01-06,COLTEJER,3493700,2852,1950,0,0,1225
2016-01-06,CONCONCRET,3656655,3533,1070,0,0,1035
2016-01-06,CORFERIAS,0,0,1000,0,0,0
2016-01-06,CORFICOLCF,2733475620,72530,38400,36500,38400,37687.52
2016-01-06,ECOPETROL,5485914960,5171972,1060,1055,1075,1060.7
2016-01-06,EDATEL,0,0,1000,0,0,0
2016-01-06,EEB,445213810,255907,1735,1730,1750,1739.75
2016-01-06,ELCONDOR,38066970,36134,1055,1050,1055,1053.49
2016-01-06,ENKA,0,0,10.9,0,0,0
2016-01-06,EPSA,0,0,9000,0,0,0
2016-01-06,ESTRA,0,0,245,0,0,0
2016-01-06,ETB,239373257,444633,540,537,540,538.36
2016-01-06,EXITO,2791327940,218864,12760,12720,13000,12753.71
2016-01-06,FABRICATO,9646393.1,641000,15.1,0,0,15.05
2016-01-06,FAMILIA,0,0,1100,0,0,0
2016-01-06,GOOGL,0,0,2573360,0,0,0
2016-01-06,GRUPOARGOS,1931890980,119796,16200,15800,16200,16126.51
2016-01-06,GRUPOAVAL,118253220,114736,1020,1010,1040,1030.65
2016-01-06,GRUPOSURA,3904157640,114402,34100,34000,34300,34126.66
2016-01-06,GURU,0,0,78040,0,0,0
2016-01-06,HCOLSEL,5050000,500,10120,0,0,10100
2016-01-06,ICOLCAP,2869000000,250000,11420,11420,11490,11476
