fecha,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%
Jun 10 2016,103.00,PROMIGAS  ,"504,700.00","5,000.00",.00
Jun 11 2016,"1,179,803.00",EXITO     ,"17,838,036,600.00","15,100.00",-1.31
Jun 11 2016,"1,371,652.00",CLH       ,"17,573,394,540.00","12,900.00",.47
Jun 11 2016,"679,449.00",PFBCOLOM  ,"17,385,883,940.00","25,440.00",-1.78
Jun 11 2016,"9,505,078.00",ECOPETROL ,"13,587,674,490.00","1,410.00",-2.76
Jun 11 2016,"2,942,224.00",PFAVH     ,"7,873,791,010.00","2,640.00",-3.83
Jun 11 2016,"428,184.00",ICOLCAP   ,"5,739,665,600.00","13,415.00",-.45
Jun 11 2016,"152,119.00",BCOLOMBIA ,"3,615,657,360.00","23,700.00",-1.50
Jun 11 2016,"77,771.00",GRUPOSURA ,"3,011,575,880.00","38,440.00",-.98
Jun 11 2016,"2,384,982.00",PFAVAL    ,"2,789,063,805.00","1,170.00",.00
Jun 11 2016,"142,974.00",GRUPOARGOS,"2,640,618,220.00","18,340.00",-1.40
Jun 11 2016,"252,673.00",ISA       ,"2,235,824,550.00","8,830.00",-.34
Jun 11 2016,"74,209.00",PFDAVVNDA ,"2,005,599,320.00","27,000.00",-.15
Jun 11 2016,"173,090.00",CNEC      ,"1,780,851,240.00","10,200.00",-3.77
Jun 11 2016,"69,139.00",NUTRESA   ,"1,763,676,920.00","25,500.00",-.55
Jun 11 2016,"27,120.00",BOGOTA    ,"1,614,874,920.00","59,500.00",.03
Jun 11 2016,"90,045.00",PFGRUPOARG,"1,610,936,860.00","17,960.00",-.11
Jun 11 2016,"30,521.00",PFGRUPSURA,"1,164,544,960.00","38,120.00",-.73
Jun 11 2016,"22,531.00",CORFICOLCF,"857,056,200.00","38,040.00",.11
Jun 11 2016,"59,774.00",CEMARGOS  ,"698,178,720.00","11,560.00",-1.20
Jun 11 2016,"40,819,022.00",ENKA      ,"489,828,264.00",12.00,-2.44
Jun 11 2016,"92,515.00",CELSIA    ,"362,250,915.00","3,920.00",-.13
Jun 11 2016,"20,483.00",PFCEMARGOS,"223,288,120.00","11,040.00",.36
Jun 11 2016,"167,566.00",GRUPOAVAL ,"194,326,560.00","1,160.00",-.43
Jun 11 2016,"73,336.00",EEB       ,"133,355,220.00","1,820.00",.28
Jun 11 2016,"104,267.00",CONCONCRET,"118,627,225.00","1,145.00",2.69
Jun 11 2016,"96,288.00",FAMILIA   ,"109,768,320.00","1,140.00",.00
Jun 11 2016,"6,616,710.00",FABRICATO ,"102,556,759.50",15.50,.00
Jun 11 2016,"26,557.00",PFCARPAK  ,"79,868,755.00","3,015.00",.50
Jun 11 2016,"2,417.00",PFCORFICOL,"77,282,000.00","32,160.00",-2.55
Jun 11 2016,"2,678,945.00",BVC       ,"48,258,510.00",18.00,-1.10
Jun 11 2016,"65,381.00",ETB       ,"39,159,931.00",601.00,.50
Jun 11 2016,"48,095.00",VALOREM   ,"21,642,750.00",450.00,.00
Jun 11 2016,"4,689.00",ISAGEN    ,"18,644,345.00","3,965.00",-.63
Jun 11 2016,"7,727.00",MINEROS   ,"18,467,530.00","2,390.00",.00
Jun 11 2016,"6,450.00",ELCONDOR  ,"7,191,750.00","1,115.00",.00
Jun 11 2016,"4,873.00",BBVACOL   ,"1,320,583.00",280.00,.00
Jun 12 2016,"9,228,452.00",PFAVH     ,"24,219,804,910.00","2,745.00",10.69
Jun 12 2016,"13,242,316.00",ECOPETROL ,"19,207,145,300.00","1,450.00",.00
Jun 12 2016,"1,070,000.00",EXITO     ,"16,432,084,920.00","15,300.00",.13
Jun 12 2016,"1,335,956.00",HCOLSEL   ,"16,365,461,000.00","12,250.00",.00
Jun 12 2016,"382,940.00",PFDAVVNDA ,"10,320,150,540.00","27,040.00",.52
Jun 12 2016,"700,000.00",ICOLCAP   ,"9,423,480,000.00","13,475.00",.43
Jun 12 2016,"310,272.00",PFBCOLOM  ,"8,004,168,500.00","25,900.00",-.31
Jun 12 2016,"562,520.00",CLH       ,"7,210,224,120.00","12,840.00",.78
Jun 12 2016,"100,351.00",GRUPOSURA ,"3,909,388,740.00","38,820.00",-.21
Jun 12 2016,"206,351.00",GRUPOARGOS,"3,851,192,760.00","18,600.00",-.53
Jun 12 2016,"85,661.00",CORFICOLCF,"3,256,561,060.00","38,000.00",-.42
Jun 12 2016,"357,370.00",ISA       ,"3,159,785,720.00","8,860.00",.11
Jun 12 2016,"1,591,586.00",EEB       ,"2,893,439,505.00","1,815.00",-.27
Jun 12 2016,"238,591.00",CEMARGOS  ,"2,826,642,240.00","11,700.00",-1.68
Jun 12 2016,"2,273,088.00",PFAVAL    ,"2,663,025,750.00","1,170.00",-.43
Jun 12 2016,"65,446.00",PFGRUPSURA,"2,516,937,440.00","38,400.00",.52
Jun 12 2016,"233,501.00",CNEC      ,"2,468,123,160.00","10,600.00",.57
Jun 12 2016,"204,292.00",PFCEMARGOS,"2,247,997,380.00","11,000.00",-.36
Jun 12 2016,"89,076.00",BCOLOMBIA ,"2,136,243,860.00","24,060.00",.08
Jun 12 2016,"549,143.00",CELSIA    ,"2,122,237,915.00","3,925.00",2.21
Jun 12 2016,"525,345.00",ISAGEN    ,"2,089,248,595.00","3,990.00",.13
Jun 12 2016,"53,142.00",PFGRUPOARG,"952,344,000.00","17,980.00",.90
Jun 12 2016,"35,658.00",NUTRESA   ,"913,884,800.00","25,640.00",-.23
Jun 12 2016,"20,170.00",OCCIDENTE ,"736,205,000.00","36,500.00",.00
Jun 12 2016,"9,861.00",BOGOTA    ,"585,276,900.00","59,480.00",.81
Jun 12 2016,"15,834.00",PFCORFICOL,"522,522,000.00","33,000.00",.06
Jun 12 2016,"244,849.00",GRUPOAVAL ,"284,620,850.00","1,165.00",.00
Jun 12 2016,"225,567.00",CONCONCRET,"252,233,260.00","1,115.00",-.89
Jun 12 2016,"396,411.00",ETB       ,"237,941,949.00",598.00,.17
Jun 12 2016,"23,203.00",ODINSA    ,"208,827,000.00","9,000.00",.00
Jun 12 2016,"162,733.00",ELCONDOR  ,"177,665,570.00","1,115.00",-.45
Jun 12 2016,"7,905,822.00",BVC       ,"142,853,217.40",18.20,.00
Jun 12 2016,"3,983,701.00",FABRICATO ,"61,858,742.60",15.50,-.64
Jun 12 2016,"76,423.00",VALOREM   ,"34,353,927.00",450.00,.00
Jun 12 2016,"14,500.00",FAMILIA   ,"16,460,000.00","1,140.00",-.76
Jun 12 2016,"2,697.00",PROMIGAS  ,"13,215,300.00","4,900.00",-2.00
Jun 12 2016,"18,594.00",PFBBVACOL ,"4,834,440.00",295.00,.00
Jun 12 2016,"1,855.00",MINEROS   ,"4,359,250.00","2,390.00",.00
Jun 12 2016,"500,000.00",PAZRIO    ,"4,000,000.00",8.00,.00
Jun 12 2016,"9,746.00",BBVACOL   ,"2,631,420.00",280.00,.00
Jun 12 2016,407.00,COLTEJER  ,"651,200.00","1,600.00",.00
Jun 15 2016,"577,160.00",PFBCOLOM  ,"14,568,422,880.00","25,300.00",-.55
Jun 15 2016,"7,256,502.00",ECOPETROL ,"10,169,574,115.00","1,400.00",-.71
Jun 15 2016,"351,885.00",EXITO     ,"5,276,249,280.00","14,860.00",-1.59
Jun 15 2016,"109,313.00",NUTRESA   ,"2,767,151,580.00","25,440.00",-.24
Jun 15 2016,"109,402.00",BCOLOMBIA ,"2,571,164,820.00","23,520.00",-.76
Jun 15 2016,"943,344.00",PFAVH     ,"2,461,301,445.00","2,600.00",-1.52
Jun 15 2016,"63,845.00",GRUPOSURA ,"2,457,317,500.00","38,740.00",.78
Jun 15 2016,"86,423.00",PFDAVVNDA ,"2,335,644,240.00","27,060.00",.22
Jun 15 2016,"46,972.00",PFGRUPSURA,"1,773,910,820.00","38,100.00",-.05
Jun 15 2016,"1,391,359.00",PFAVAL    ,"1,622,858,395.00","1,170.00",.00
Jun 15 2016,"139,444.00",CNEC      ,"1,455,009,520.00","10,360.00",1.57
Jun 15 2016,"100,000.00",ICOLCAP   ,"1,328,900,000.00","13,289.00",-.94
Jun 15 2016,"128,755.00",ISA       ,"1,135,331,240.00","8,800.00",-.34
Jun 15 2016,"95,831.00",PFCEMARGOS,"1,035,040,580.00","10,720.00",-2.90
Jun 15 2016,"89,187.00",CEMARGOS  ,"1,033,731,440.00","11,520.00",-.35
Jun 15 2016,"24,598.00",CORFICOLCF,"936,518,820.00","38,400.00",.95
Jun 15 2016,"37,151.00",GRUPOARGOS,"680,318,980.00","18,280.00",-.33
Jun 15 2016,"37,008.00",PFGRUPOARG,"650,217,000.00","17,420.00",-3.01
Jun 15 2016,"9,680.00",BOGOTA    ,"575,957,800.00","59,480.00",-.03
Jun 15 2016,"131,242.00",CELSIA    ,"516,115,615.00","3,990.00",1.79
Jun 15 2016,"657,395.00",ETB       ,"393,240,961.00",601.00,.00
Jun 15 2016,"30,243.00",CLH       ,"387,134,700.00","12,800.00",-.78
Jun 15 2016,"8,790.00",PFCORFICOL,"290,070,000.00","33,000.00",2.61
Jun 15 2016,"81,200.00",MINEROS   ,"193,702,950.00","2,390.00",.00
Jun 15 2016,"27,930.00",EEB       ,"50,515,800.00","1,810.00",-.55
Jun 15 2016,"35,744.00",GRUPOAVAL ,"41,284,320.00","1,155.00",-.43
Jun 15 2016,"1,980,181.00",BVC       ,"35,552,627.80",18.10,.56
Jun 15 2016,"26,399.00",CONCONCRET,"29,830,870.00","1,130.00",-1.31
Jun 15 2016,"6,164.00",ISAGEN    ,"24,579,155.00","3,985.00",.50
Jun 15 2016,"4,132.00",CARTON    ,"20,660,000.00","5,000.00",-1.96
Jun 15 2016,"1,000,000.00",FABRICATO ,"15,800,000.00",15.80,1.94
Jun 15 2016,"1,670.00",PFCARPAK  ,"5,010,000.00","3,015.00",.00
Jun 15 2016,120.00,TGLSC     ,"4,020,000.00","35,500.00",.00
Jun 15 2016,"8,000.00",VALOREM   ,"3,632,000.00",450.00,.00
Jun 15 2016,"4,800.00",BBVACOL   ,"1,368,000.00",280.00,.00
Jun 15 2016,216.00,PFVILLAS  ,"1,244,160.00","6,000.00",.00
Jun 16 2016,"719,584.00",PFBCOLOM  ,"18,060,537,600.00","25,140.00",-.63
Jun 16 2016,"1,097,000.00",HCOLSEL   ,"13,214,391,000.00","11,980.00",-2.20
Jun 16 2016,"231,537.00",SOCBOLIVAR,"12,533,893,520.00","54,000.00",-1.82
Jun 16 2016,"309,457.00",PFDAVVNDA ,"8,447,671,720.00","27,340.00",1.03
Jun 16 2016,"5,627,028.00",ECOPETROL ,"7,841,070,250.00","1,395.00",-.36
Jun 16 2016,"201,107.00",GRUPOSURA ,"7,644,268,360.00","37,800.00",-2.43
Jun 16 2016,"446,652.00",EXITO     ,"6,537,541,500.00","14,480.00",-2.56
Jun 16 2016,"537,686.00",CEMARGOS  ,"6,233,062,700.00","11,540.00",.17
Jun 16 2016,"452,508.00",CLH       ,"5,760,892,760.00","12,640.00",-1.25
Jun 16 2016,"1,703,799.00",PFAVH     ,"4,432,829,595.00","2,620.00",.77
Jun 16 2016,"175,289.00",NUTRESA   ,"4,396,245,120.00","24,940.00",-1.97
Jun 16 2016,"400,980.00",PFCEMARGOS,"4,317,205,280.00","10,800.00",.75
Jun 16 2016,"237,920.00",PFGRUPOARG,"4,158,862,160.00","17,520.00",.57
Jun 16 2016,"2,504,354.00",PFAVAL    ,"2,933,293,400.00","1,170.00",.00
Jun 16 2016,"144,965.00",GRUPOARGOS,"2,639,058,900.00","18,160.00",-.66
Jun 16 2016,"515,552.00",CELSIA    ,"2,013,284,860.00","3,925.00",-1.63
Jun 16 2016,"39,447.00",PFGRUPSURA,"1,478,714,540.00","37,200.00",-2.36
Jun 16 2016,"91,624.00",ICOLCAP   ,"1,210,254,920.00","13,199.00",-.68
Jun 16 2016,"29,065.00",CORFICOLCF,"1,104,604,760.00","38,000.00",-1.04
Jun 16 2016,"46,714.00",BCOLOMBIA ,"1,088,940,040.00","23,200.00",-1.36
Jun 16 2016,"105,297.00",ISA       ,"922,311,770.00","8,720.00",-.91
Jun 16 2016,"54,060.00",CNEC      ,"554,265,260.00","10,220.00",-1.35
Jun 16 2016,"9,474.00",PFCORFICOL,"312,640,700.00","33,000.00",.00
Jun 16 2016,"150,579.00",EEB       ,"268,260,230.00","1,780.00",-1.66
Jun 16 2016,"165,735.00",GRUPOAVAL ,"192,157,235.00","1,160.00",.43
Jun 16 2016,"203,024.00",ETB       ,"121,391,280.00",601.00,.00
Jun 16 2016,"6,552,976.00",BVC       ,"118,257,974.00",18.20,.55
Jun 16 2016,"105,500.00",ELCONDOR  ,"115,422,500.00","1,095.00",-1.79
Jun 16 2016,"11,000.00",PROMIGAS  ,"53,900,000.00","4,900.00",.00
Jun 16 2016,686.00,BOGOTA    ,"40,783,380.00","59,480.00",.00
Jun 16 2016,"1,000.00",TITAN     ,"34,500,000.00","34,500.00",.00
Jun 16 2016,"8,115.00",ISAGEN    ,"32,586,245.00","4,050.00",1.63
Jun 16 2016,"1,073,886.00",FABRICATO ,"16,770,843.80",15.50,-1.90
Jun 16 2016,"31,000.00",VALOREM   ,"13,950,000.00",450.00,.00
Jun 16 2016,"4,640.00",PFCARPAK  ,"13,677,025.00","3,000.00",-.50
Jun 16 2016,"7,760.00",CONCONCRET,"8,730,000.00","1,125.00",-.44
Jun 16 2016,"3,000.00",COLTEJER  ,"5,010,000.00","1,600.00",.00
Jun 16 2016,412.00,TERPEL    ,"3,984,040.00","9,670.00",.00
Jun 16 2016,"5,281.00",BBVACOL   ,"1,436,432.00",280.00,.00
Jun 16 2016,20.00,OCCIDENTE ,"738,000.00","36,500.00",.00
Jun 17 2016,"13,523,751.00",ECOPETROL ,"18,846,387,225.00","1,395.00",.00
Jun 17 2016,"6,366,086.00",PFAVH     ,"15,938,550,045.00","2,435.00",-8.46
Jun 17 2016,"325,169.00",NUTRESA   ,"8,161,951,900.00","25,100.00",.08
Jun 17 2016,"270,348.00",PFBCOLOM  ,"6,851,368,320.00","25,400.00",.47
